word,surah,aya,word_position,start,end,translation
إِنْ تَتُوبَا,66,4,1,0.0,2.72,{'en': 'If you both turn'}
إِلَى اللَّهِ,66,4,3,2.72,3.72,{'en': 'to Allah'}
فَقَدْ صَغَتْ,66,4,5,3.72,5.04,{'en': 'so indeed (are) inclined'}
قُلُوبُكُمَا,66,4,7,5.04,6.24,{'en': 'your hearts'}
وَإِنْ,66,4,8,6.24,7.44,{'en': 'but if'}
تَظَاهَرَا,66,4,9,7.44,8.92,{'en': 'you backup each other'}
عَلَيْهِ,66,4,10,8.92,9.47,{'en': 'against him'}
فَإِنَّ,66,4,11,9.47,10.23,{'en': 'then indeed'}
اللَّهَ,66,4,12,10.23,11.23,{'en': 'Allah'}
هُوَ,66,4,13,11.23,12.04,{'en': 'He'}
مَوْلَاهُ,66,4,14,12.04,15.16,{'en': '(is) his Protector'}
وَجِبْرِيلُ,66,4,15,15.16,16.239,{'en': 'and Jibreel'}
وَصَالِحُ,66,4,16,16.239,17.24,{'en': 'and (the) righteous'}
الْمُؤْمِنِينَ,66,4,17,17.24,18.23,{'en': 'believers'}
وَالْمَلَائِكَةُ,66,4,18,18.23,20.76,{'en': 'and the Angels'}
بَعْدَ ذَلِكَ,66,4,19,20.76,21.96,{'en': 'after that'}
ظَهِيرٌ,66,4,21,21.96,23.68,{'en': '(are his) assistants'}
عَسَى رَبُّهُ,66,5,1,23.68,24.941,{'en': 'Perhaps his Lord'}
إِنْ,66,5,3,24.941,25.691,{'en': 'if'}
طَلَّقَكُنَّ,66,5,4,25.691,27.861,{'en': 'he divorced you'}
أَنْ يُبْدِلَهُ,66,5,5,27.861,30.781,{'en': '[that] He will substitute for him'}
أَزْوَاجًا,66,5,7,30.781,36.141,{'en': 'wives'}
خَيْرًا,66,5,8,36.141,36.941,{'en': 'better'}
مِنْكُنَّ,66,5,9,36.941,38.941,{'en': 'than you'}
مُسْلِمَاتٍ,66,5,10,38.941,42.301,{'en': 'submissive'}
مُؤْمِنَاتٍ,66,5,11,42.301,43.941,{'en': 'faithful'}
